"store_key","store_name","area_id","address","station_exit","latitude","longitude","geocode_status","open_hours","store_info_source_url","tabelog_url","drink_source_url","drink_category","matched_item_name","price_yen","price_basis","tax_status","confidence","collected_at","verification_status","notes"
"nakano-toriichizu-kitakuchi","大衆居酒屋 とりいちず 中野北口店","AREA-NAKANO","東京都中野区中野5-59-11 筑紫屋ビル 1F～3F","中野駅 北口 徒歩3分","","","needs_geocode","12:00-04:00","https://toriichizu.net/shoplist/55/","https://s.tabelog.com/tokyo/A1319/A131902/13220647/","https://r.gnavi.co.jp/845svf590000/drink/","highball","強炭酸ハイボール","109","通常サイズ","not_explicit_on_drink_source","high","2026-06-10","source_checked","メガサイズは除外"
"nakano-toriichizu-kitakuchi","大衆居酒屋 とりいちず 中野北口店","AREA-NAKANO","東京都中野区中野5-59-11 筑紫屋ビル 1F～3F","中野駅 北口 徒歩3分","","","needs_geocode","12:00-04:00","https://toriichizu.net/shoplist/55/","https://s.tabelog.com/tokyo/A1319/A131902/13220647/","https://r.gnavi.co.jp/845svf590000/drink/","beer","スーパードライ中ジョッキ","329","生中ジョッキ","not_explicit_on_drink_source","high","2026-06-10","source_checked",""
"nakano-toriichizu-kitakuchi","大衆居酒屋 とりいちず 中野北口店","AREA-NAKANO","東京都中野区中野5-59-11 筑紫屋ビル 1F～3F","中野駅 北口 徒歩3分","","","needs_geocode","12:00-04:00","https://toriichizu.net/shoplist/55/","https://s.tabelog.com/tokyo/A1319/A131902/13220647/","https://r.gnavi.co.jp/845svf590000/drink/","lemon_sour","生搾りレモンサワー","109","通常サイズ","explicit_tax_included_on_official_site","high","2026-06-10","source_checked","公式店舗ページにも税込109円の記載あり"
"nakano-wan-kitakuchi","くいもの屋 わん 中野北口店","AREA-NAKANO","東京都中野区中野5-64-5 中野サンピオーネビル3F","中野駅 北口 徒歩1分","","","needs_geocode","月火日16:00-24:00; 水-土祝前16:00-25:00","https://search.oizumifoods.co.jp/detail/538/","https://s.tabelog.com/tokyo/A1319/A131902/13136891/","https://r.gnavi.co.jp/p864062/menu3/","highball","ブラックニッカハイボール","539","標準サイズ","not_explicit_on_drink_source","high","2026-06-10","source_checked","角ハイボールは605円"
"nakano-wan-kitakuchi","くいもの屋 わん 中野北口店","AREA-NAKANO","東京都中野区中野5-64-5 中野サンピオーネビル3F","中野駅 北口 徒歩1分","","","needs_geocode","月火日16:00-24:00; 水-土祝前16:00-25:00","https://search.oizumifoods.co.jp/detail/538/","https://s.tabelog.com/tokyo/A1319/A131902/13136891/","https://r.gnavi.co.jp/p864062/menu3/","beer","キリン 一番搾り 生ビール","671","生ビール","not_explicit_on_drink_source","high","2026-06-10","source_checked",""
"nakano-wan-kitakuchi","くいもの屋 わん 中野北口店","AREA-NAKANO","東京都中野区中野5-64-5 中野サンピオーネビル3F","中野駅 北口 徒歩1分","","","needs_geocode","月火日16:00-24:00; 水-土祝前16:00-25:00","https://search.oizumifoods.co.jp/detail/538/","https://s.tabelog.com/tokyo/A1319/A131902/13136891/","https://r.gnavi.co.jp/p864062/menu3/","lemon_sour","レモンサワー各種","528","価格帯の下限","not_explicit_on_drink_source","medium","2026-06-10","source_checked","こだわり酒場のレモンサワーを含む価格帯528-968円"
"nakano-mekiki-ginji-kitakuchi","目利きの銀次 中野北口駅前本店","AREA-NAKANO","東京都中野区中野5-59-9 澤仙ビル1・2F","中野駅 北口 徒歩4分","","","needs_geocode","月-土12:00-03:00; 日祝12:00-01:00","https://r.gnavi.co.jp/fxcd2ez90000/","https://s.tabelog.com/tokyo/A1319/A131902/13085612/","https://r.gnavi.co.jp/fxcd2ez90000/menu4/","highball","ジムビームハイボール","548","標準サイズの最安候補","not_explicit_on_drink_source","high","2026-06-10","source_checked","角ハイボールは603円"
"nakano-mekiki-ginji-kitakuchi","目利きの銀次 中野北口駅前本店","AREA-NAKANO","東京都中野区中野5-59-9 澤仙ビル1・2F","中野駅 北口 徒歩4分","","","needs_geocode","月-土12:00-03:00; 日祝12:00-01:00","https://r.gnavi.co.jp/fxcd2ez90000/","https://s.tabelog.com/tokyo/A1319/A131902/13085612/","https://r.gnavi.co.jp/fxcd2ez90000/menu4/","beer","キリン一番搾り〈生〉","658","中ジョッキ","not_explicit_on_drink_source","high","2026-06-10","source_checked",""
"nakano-mekiki-ginji-kitakuchi","目利きの銀次 中野北口駅前本店","AREA-NAKANO","東京都中野区中野5-59-9 澤仙ビル1・2F","中野駅 北口 徒歩4分","","","needs_geocode","月-土12:00-03:00; 日祝12:00-01:00","https://r.gnavi.co.jp/fxcd2ez90000/","https://s.tabelog.com/tokyo/A1319/A131902/13085612/","https://r.gnavi.co.jp/fxcd2ez90000/menu4/","lemon_sour","レモンサワー","548","標準サイズ","not_explicit_on_drink_source","high","2026-06-10","source_checked","こだわり酒場のレモンサワーは603円"
"nakano-oyadoriya","炭火酒場おやどりや 中野店","AREA-NAKANO","東京都中野区中野5-60-13 KMビル2F","中野駅 北口 徒歩1分","","","needs_geocode","16:00-23:00","https://g753348.gorp.jp/","https://s.tabelog.com/tokyo/A1319/A131902/13320491/","https://r.gnavi.co.jp/g753348/menu2/","highball","ハイボール","429","標準サイズ","not_explicit_on_drink_source","high","2026-06-10","source_checked",""
"nakano-oyadoriya","炭火酒場おやどりや 中野店","AREA-NAKANO","東京都中野区中野5-60-13 KMビル2F","中野駅 北口 徒歩1分","","","needs_geocode","16:00-23:00","https://g753348.gorp.jp/","https://s.tabelog.com/tokyo/A1319/A131902/13320491/","https://r.gnavi.co.jp/g753348/menu2/","beer","生ビール＜中＞ サッポロ黒ラベル","528","中ジョッキ","not_explicit_on_drink_source","high","2026-06-10","source_checked",""
"nakano-oyadoriya","炭火酒場おやどりや 中野店","AREA-NAKANO","東京都中野区中野5-60-13 KMビル2F","中野駅 北口 徒歩1分","","","needs_geocode","16:00-23:00","https://g753348.gorp.jp/","https://s.tabelog.com/tokyo/A1319/A131902/13320491/","https://r.gnavi.co.jp/g753348/menu2/","lemon_sour","生レモンサワー","473","標準サイズ","not_explicit_on_drink_source","high","2026-06-10","source_checked",""
